name,city,region
"<a href=""/wiki/Elvis_Rroshi"" title=""Elvis Rroshi"">Elvis Rroshi</a>",kavaj%c3%ab,albania
"<a href=""/wiki/Isa_Sakja"" title=""Isa Sakja"">Isa Sakja</a>",kavaj%c3%ab,albania
Gjergj Gjinko,kor%c3%a7%c3%ab,albania
Robert Kotmilo,kor%c3%a7%c3%ab,albania
Gjergj Duro,kor%c3%a7%c3%ab,albania
Robert Damo,kor%c3%a7%c3%ab,albania
"<a href=""/wiki/Niko_Peleshi"" title=""Niko Peleshi"">Niko Peleshi</a>",kor%c3%a7%c3%ab,albania
Sotiraq Filo,kor%c3%a7%c3%ab,albania
Shefqet &#xC7;ela,kuk%c3%abs,albania
Abedin Budinaku,kuk%c3%abs,albania
Tahir Kolgjini,kuk%c3%abs,albania
Xhaferr Bislimi,kuk%c3%abs,albania
Qemal Parllaku,kuk%c3%abs,albania
Safet Sula,kuk%c3%abs,albania
Ylber Zeneli,kuk%c3%abs,albania
Osman Elezi,kuk%c3%abs,albania
Hasan Halilaj,kuk%c3%abs,albania
Bashkim Shehu,kuk%c3%abs,albania
Agron Dibra,lezh%c3%ab,albania
Njazi Re&#xE7;i,lezh%c3%ab,albania
Gjok&#xEB; Jaku,lezh%c3%ab,albania
Viktor Tushaj,lezh%c3%ab,albania
Fran Frrokaj,lezh%c3%ab,albania
Perlat Ram&#xE7;aj,mal%c3%absi_e_madhe,albania
Islam Semanaj,mal%c3%absi_e_madhe,albania
Bahri Shabani,mal%c3%absi_e_madhe,albania
Perlat Ram&#xE7;aj,mal%c3%absi_e_madhe,albania
Ramadan Likaj,mal%c3%absi_e_madhe,albania
Tonin Marinaj,mal%c3%absi_e_madhe,albania
Dhimit&#xEB;r Nasi,p%c3%abrmet,albania
Spartak Kondi,p%c3%abrmet,albania
Ani Kote,p%c3%abrmet,albania
Petrit Bregasi,p%c3%abrmet,albania
Edmond Komino,p%c3%abrmet,albania
Gilberto Jace,p%c3%abrmet,albania
Niko Shupuli,p%c3%abrmet,albania
Halit Topalli,puk%c3%ab,albania
Halit Furriku,puk%c3%ab,albania
Ndue Cara,puk%c3%ab,albania
Rrustem Strugaj,puk%c3%ab,albania
Beqir Arifaj,puk%c3%ab,albania
Gjon Gjonaj,puk%c3%ab,albania
Muharrem Gjylbegu,shkod%c3%abr,albania
Musa Juka,shkod%c3%abr,albania
Muhamet Gjyrezi,shkod%c3%abr,albania
Kol Mjeda,shkod%c3%abr,albania
Mehmet Shpuza,shkod%c3%abr,albania
Rrustem Ymeri,shkod%c3%abr,albania
Izet Dibra,shkod%c3%abr,albania
Zenel Prodani,shkod%c3%abr,albania
Rrustem Ymeri,shkod%c3%abr,albania
Zenel Prodani,shkod%c3%abr,albania
Ndoc &#xC7;oba,shkod%c3%abr,albania
Mark Karrakiqi,shkod%c3%abr,albania
Zef Shiroka,shkod%c3%abr,albania
Loro Suma,shkod%c3%abr,albania
Zef Gjeta,shkod%c3%abr,albania
Dhimit&#xEB;r Bojaxhiu,shkod%c3%abr,albania
Shyqyri Hafizi,shkod%c3%abr,albania
